ADD_UID,UNIT_DESIGNATOR,UNIT_NUMBER_PREFIX,UNIT_NUMBER,UNIT_NUMBER_SUFFIX,SITE_NAME,SUPER_FULL_SITE_DESCRIPTOR,CIVIC_NUMBER,CIVIC_NUMBER_SUFFIX,STREET_NAME,STREET_TYPE,IS_STREET_TYPE_PREFIX,STREET_DIRECTION,IS_STREET_DIRECTION_PREFIX,LOCALITY,LOCALITY_DESCRIPTOR,POSTAL_CODE,PROVINCE_CODE,STATUS,IS_OFFICIAL_ADDRESS,IS_PRIMARY,BLDG_UID,ADDRESS_DESCRIPTOR,SITE_POINT_DESCRIPTOR,FOOTPRINT_DESCRIPTOR,FOOTPRINT_ID,IS_NON_CIVIC_ADDRESS,NARRITIVE_LOCATION,IS_MAILING_ADDRESS,MAIL_PROVIDER,IS_ANNUNCIATOR,NUM_OF_UNITS,NEIGHBOURHOOD,ADDRESS_NOTES,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,PARENT_UID,FULL_ADDRESS,LAT,LONG
VAD11188,,,,,Trail 5,,6580,,Marine,Drive,0,NW,1,Vancouver,Municipality,,BC,Current,1,0,,Outdoor,ServiceAccess,OutdoorArea,,0,,0,,,0,UEL,CPN: VATRAIL 5,RACHELW,20200331182640,RACHELW,20201209212545,,6580 NW Marine Drive,-123.26047,49.265534
VAD11175,,,,,Trail 4,,6400,,Marine,Drive,0,NW,1,Vancouver,Municipality,,BC,Current,1,0,,Outdoor,ServiceAccess,OutdoorArea,,0,,0,,,0,UEL,CPN: VATRAIL 4,GISSTUD1,20200121012951,RACHELW,20201209212546,,6400 NW Marine Drive,-123.259858,49.267725
VAD11174,,,,,Trail 3,,6100,,Marine,Drive,0,NW,1,Vancouver,Municipality,,BC,Current,1,0,,Outdoor,ServiceAccess,OutdoorArea,,0,,0,,,0,UEL,CPN: VATRAIL 3,GISSTUD1,20200121010610,RACHELW,20201209212546,,6100 NW Marine Drive,-123.254201,49.271543
VAD10588,,,,,District Energy Centre - Wesbrook,,3459,,Ross,Drive,0,,0,Vancouver,Municipality,V6T 1W5,BC,Current,1,0,,Outdoor,ServiceAccess,OutdoorArea,,0,,0,,0,0,Wesbrook Place,,,,RACHELW,20210323192557,,3459 Ross Drive,-123.237145,49.251339
VAD10587,,,,,District energy system phase 2 for Wesbrook Place,,3510,,Binning,Road,0,,0,Vancouver,Municipality,V6T 1W5,BC,Current,1,0,,Outdoor,ServiceAccess,OutdoorArea,,0,,0,,0,,Wesbrook Place,,,,RACHELW,20210323192557,,3510 Binning Road,-123.2297,49.252766
VAD10108,,,,,Biological Archive Centre,,4000,,Wesbrook,Mall,0,,0,Vancouver,Municipality,V6T 1W5,BC,Retired,0,0,,CampusBuilding,FrontDoor,,,0,,0,,,0,Academic,,,,RACHELW,20201209213607,,4000 Wesbrook Mall,-123.229622,49.248853
VAD11041,,,,,Energy and Water Services Works Yard,,6027,,Nurseries,Road,0,,0,Vancouver,Municipality,V6T 1W5,BC,Current,1,0,,Outdoor,ServiceAccess,OutdoorArea,,0,,0,,0,0,Academic,,,,RACHELW,20201209215830,,6027 Nurseries Road,-123.228186,49.243857
VAD10683,,,,,UBC Aquatic Centre (Old),,6121,,University,Boulevard,0,,0,Vancouver,Municipality,V6T 1Z1,BC,Retired,0,0,,CampusBuilding,FrontDoor,,,0,,0,,,0,Academic,,,,RACHELW,20201209213618,,6121 University Boulevard,-123.249362,49.266554
VAD11178,,,,,Trail 7,,0,,Old Marine,Drive,0,,0,Vancouver,Municipality,,BC,Current,1,0,,Outdoor,ServiceAccess,OutdoorArea,,0,,0,,,0,UEL,CPN: VATRAIL 7,GISSTUD1,20200121015623,RACHELW,20200618205028,,0 Old Marine Drive,-123.250512,49.252557
VAD10058,Building,,12,,TRIUMF - Trailer MM,TRIUMF,4004,,Wesbrook,Mall,0,,0,Vancouver,Municipality,V6T 2A3,BC,Retired,0,0,,OtherBuilding,Rooftop,Building,VBL10052,0,,0,,,0,Academic,,,,RACHELW,20200618184803,VAD10741,"4004 Wesbrook Mall, Building 12",-123.228921,49.246814
