ADD_UID,SITE_NAME,LOCALITY,POSTAL_CODE,PROVINCE_CODE,BLDG_UID,ADDRESS_DESCRIPTOR,MAIL_PROVIDER,FULL_ADDRESS,LAT,LONG
VAD10026,Logan Lane (A9),Vancouver,V6T 2K8,BC,VBL10226,Residential,CanadaPost,2561 East Mall,-123.245146,49.25873
VAD10028,Logan Lane (E4),Vancouver,V6T 2K9,BC,VBL10226,Residential,CanadaPost,6278 Logan Lane,-123.246518,49.259002
VAD10792,Westchester (C1),Vancouver,V6T 2J9,BC,VBL10220,Residential,CanadaPost,2578 West Mall,-123.249378,49.257294
VAD10182,Nine on the Park (4),Vancouver,V6T 0A3,BC,VBL10158,Residential,CanadaPost,6292 Eagles Drive,-123.247162,49.259315
VAD10150,Logan Lane (E6),Vancouver,V6T 2K9,BC,VBL10226,Residential,CanadaPost,6282 Logan Lane,-123.246602,49.258972
VAD10187,Nine on the Park (3),Vancouver,V6T 0A3,BC,VBL10158,Residential,CanadaPost,6294 Eagles Drive,-123.247195,49.259356
VAD10031,Logan Lane (D1),Vancouver,V6T 2K9,BC,VBL10226,Residential,CanadaPost,6258 Logan Lane,-123.245628,49.258573
VAD10154,Logan Lane (D4),Vancouver,V6T 2K9,BC,VBL10226,Residential,CanadaPost,6254 Logan Lane,-123.245693,49.258657
VAD10385,Prodigy - Building 1,Vancouver,V6S 0G3,BC,VBL10349,NeighbourhoodBldg,CanadaPost,6033 Gray Avenue,-123.235902,49.251705
VAD10404,Sail - Building 1,Vancouver,V6S 0G8,BC,VBL10172,NeighbourhoodBldg,CanadaPost,5983 Gray Avenue,-123.234866,49.252382
VAD10904,Chancellor Hall -  Apartment,Vancouver,V6T 2L7,BC,VBL10290,NeighbourhoodBldg,CanadaPost,5989 Iona Drive,-123.250297,49.271662
VAD10001,Hawthorn Green (A1),Vancouver,V6T 2J6,BC,VBL10144,Residential,CanadaPost,6358 Hawthorn Lane,-123.248877,49.258138
VAD11025,Logan Lane (B4),Vancouver,V6T 2K8,BC,VBL10226,Residential,CanadaPost,2555 East Mall,-123.2453,49.258926
VAD10405,Sitka,Vancouver,V6T 0B5,BC,VBL10112,NeighbourhoodBldg,CanadaPost,5868 Agronomy Road,-123.2419,49.263016
VAD10388,Promontory,Vancouver,V6T 2J8,BC,VBL10149,NeighbourhoodBldg,CanadaPost,2688 West Mall,-123.247881,49.255898
VAD10487,Yu,Vancouver,V6S 0C5,BC,VBL10167,NeighbourhoodBldg,CanadaPost,5955 Birney Avenue,-123.235833,49.253505
VAD10205,Larkspur House,Vancouver,V6S 0G9,BC,VBL10018,NeighbourhoodBldg,CanadaPost,3428 Wesbrook Mall,-123.234235,49.253493
VAD10193,Nobel House,Vancouver,V6S 0G6,BC,VBL10379,NeighbourhoodBldg,CanadaPost,3655 Wesbrook Mall,-123.23301,49.250874
VAD10159,Logan Lane (C4),Vancouver,V6T 2K9,BC,VBL10226,Residential,CanadaPost,6206 Logan Lane,-123.245729,49.259275
VAD10162,Logan Lane (A3),Vancouver,V6T 2K8,BC,VBL10226,Residential,CanadaPost,2575 East Mall,-123.245016,49.25858
VAD10186,Nine on the Park (2),Vancouver,V6T 0A3,BC,VBL10158,Residential,CanadaPost,6296 Eagles Drive,-123.247231,49.2594
VAD10192,Nine on the Park (9),Vancouver,V6T 0A3,BC,VBL10158,Residential,CanadaPost,6282 Eagles Drive,-123.246989,49.259105
VAD10200,Logan Lane (C10),Vancouver,V6T 2K9,BC,VBL10226,Residential,CanadaPost,6220 Logan Lane,-123.245962,49.259189
VAD10201,Logan Lane (A4),Vancouver,V6T 2K8,BC,VBL10226,Residential,CanadaPost,2573 East Mall,-123.245053,49.258617
VAD10804,Westchester (B3),Vancouver,V6T 2J9,BC,VBL10220,Residential,CanadaPost,2588 West Mall,-123.249222,49.257084
VAD10149,Keenleyside,Vancouver,V6S 0A2,BC,VBL10040,NeighbourhoodBldg,CanadaPost,5788 Birney Avenue,-123.233148,49.25402
VAD10137,Magnolia House,Vancouver,V6S 0H1,BC,VBL10191,NeighbourhoodBldg,CanadaPost,3565 Wesbrook Mall,-123.233477,49.251703
VAD10264,Folio - Apartment,Vancouver,V6T 2L4,BC,VBL10309,NeighbourhoodBldg,CanadaPost,5955 Iona Drive,-123.249619,49.271824
VAD10260,Gardenia House,Vancouver,V6T 0C2,BC,VBL10224,NeighbourhoodBldg,CanadaPost,6309 Larkin Drive,-123.248868,49.258922
VAD10585,West Hampstead,Vancouver,V6T 2G1,BC,VBL10281,NeighbourhoodBldg,CanadaPost,5760 Hampton Place,-123.235269,49.257797
VAD10225,Granite Terrace,Vancouver,V6S 0B4,BC,VBL10164,NeighbourhoodBldg,CanadaPost,3233 Wesbrook Mall,-123.236445,49.255118
VAD10116,Legacy,Vancouver,V6T 0A7,BC,VBL10160,NeighbourhoodBldg,CanadaPost,6333 Larkin Drive,-123.247765,49.257336
VAD10008,Hawthorn Green (D2),Vancouver,V6T 2J6,BC,VBL10144,Residential,CanadaPost,6328 Hawthorn Lane,-123.248499,49.258272
VAD10030,Logan Lane (B6),Vancouver,V6T 2K8,BC,VBL10226,Residential,CanadaPost,2549 East Mall,-123.245348,49.258976
VAD10003,Hawthorn Green (B1),Vancouver,V6T 2J6,BC,VBL10144,Residential,CanadaPost,6352 Hawthorn Lane,-123.248758,49.258181
VAD10038,Logan Lane (B1),Vancouver,V6T 2K8,BC,VBL10226,Residential,CanadaPost,2559 East Mall,-123.245228,49.258838
VAD10123,Logan Lane (E7),Vancouver,V6T 2K9,BC,VBL10226,Residential,CanadaPost,6284 Logan Lane,-123.246619,49.258966
VAD10125,Logan Lane (C11),Vancouver,V6T 2K9,BC,VBL10226,Residential,CanadaPost,6224 Logan Lane,-123.24599,49.259179
VAD10129,Logan Lane (E5),Vancouver,V6T 2K9,BC,VBL10226,Residential,CanadaPost,6280 Logan Lane,-123.246535,49.258996
VAD10130,Logan Lane (C8),Vancouver,V6T 2K9,BC,VBL10226,Residential,CanadaPost,6214 Logan Lane,-123.245885,49.25922
VAD10557,Corus - Townhouse (8),Vancouver,V6T 0A9,BC,VBL10303,Residential,CanadaPost,5991 Walter Gage Road,-123.249446,49.270525
VAD10558,Corus - Townhouse (9),Vancouver,V6T 0A9,BC,VBL10303,Residential,CanadaPost,5993 Walter Gage Road,-123.249504,49.270505
VAD10163,Logan Lane (A8),Vancouver,V6T 2K8,BC,VBL10226,Residential,CanadaPost,2565 East Mall,-123.245133,49.258715
VAD10132,Logan Lane (D14),Vancouver,V6T 2K9,BC,VBL10226,Residential,CanadaPost,6236 Logan Lane,-123.245914,49.258903
VAD10131,Logan Lane (B7),Vancouver,V6T 2K8,BC,VBL10226,Residential,CanadaPost,2545 East Mall,-123.245359,49.25899
VAD10139,Logan Lane (C3),Vancouver,V6T 2K9,BC,VBL10226,Residential,CanadaPost,6208 Logan Lane,-123.245673,49.25929
VAD10141,Logan Lane (A7),Vancouver,V6T 2K8,BC,VBL10226,Residential,CanadaPost,2567 East Mall,-123.245099,49.258681
VAD10143,Logan Lane (E1),Vancouver,V6T 2K9,BC,VBL10226,Residential,CanadaPost,6272 Logan Lane,-123.246319,49.259081
VAD10144,Logan Lane (C5),Vancouver,V6T 2K9,BC,VBL10226,Residential,CanadaPost,6210 Logan Lane,-123.245749,49.259268
VAD10146,Logan Lane (A1),Vancouver,V6T 2K8,BC,VBL10226,Residential,CanadaPost,2579 East Mall,-123.244997,49.258497
VAD10148,Logan Lane (D13),Vancouver,V6T 2K9,BC,VBL10226,Residential,CanadaPost,6234 Logan Lane,-123.245871,49.258874
VAD10151,Logan Lane (C7),Vancouver,V6T 2K9,BC,VBL10226,Residential,CanadaPost,6216 Logan Lane,-123.24583,49.259235
VAD10152,Logan Lane (C9),Vancouver,V6T 2K9,BC,VBL10226,Residential,CanadaPost,6218 Logan Lane,-123.245905,49.259213
VAD10147,Logan Lane (C1),Vancouver,V6T 2K9,BC,VBL10226,Residential,CanadaPost,6202 Logan Lane,-123.245589,49.259325
VAD10133,Logan Lane (D16),Vancouver,V6T 2K9,BC,VBL10226,Residential,CanadaPost,6230 Logan Lane,-123.245945,49.258964
VAD10153,Logan Lane (B8),Vancouver,V6T 2K8,BC,VBL10226,Residential,CanadaPost,2547 East Mall,-123.245383,49.259027
VAD10785,Westchester (A2),Vancouver,V6T 2J9,BC,VBL10220,Residential,CanadaPost,2596 West Mall,-123.249105,49.25695
VAD10786,Westchester (B1),Vancouver,V6T 2J9,BC,VBL10220,Residential,CanadaPost,2592 West Mall,-123.249154,49.257004
VAD10787,Westchester (B2),Vancouver,V6T 2J9,BC,VBL10220,Residential,CanadaPost,2590 West Mall,-123.249191,49.257046
VAD10790,Westchester (B5),Vancouver,V6T 2J9,BC,VBL10220,Residential,CanadaPost,2582 West Mall,-123.249294,49.25718
VAD10791,Westchester (B6),Vancouver,V6T 2J9,BC,VBL10220,Residential,CanadaPost,2580 West Mall,-123.249307,49.257196
VAD10009,Hawthorn Green (E1),Vancouver,V6T 2J6,BC,VBL10144,Residential,CanadaPost,6326 Hawthorn Lane,-123.2484,49.258307
VAD11055,Webber House,Vancouver,V6S 0J8,BC,VBL10171,NeighbourhoodBldg,CanadaPost,3388 Webber Lane,-123.23688,49.253206
VAD11144,Virtuoso,Vancouver,V6S 0K5,BC,VBL10345,NeighbourhoodBldg,CanadaPost,3581 Ross Drive,-123.234256,49.250948
VAD11137,Village Square,Vancouver,V6S 0J7,BC,VBL10170,NeighbourhoodBldg,CanadaPost,3338 Webber Lane,-123.236818,49.253893
VAD11029,Dahlia House,Vancouver,V6S 0H2,BC,VBL10096,NeighbourhoodBldg,CanadaPost,3515 Wesbrook Mall,-123.233826,49.252286
VAD11074,The Regency,Vancouver,V6T 2H6,BC,VBL10287,NeighbourhoodBldg,CanadaPost,5639 Hampton Place,-123.233077,49.259051
VAD11073,The Pemberley,Vancouver,V6T 2H2,BC,VBL10205,NeighbourhoodBldg,CanadaPost,5605 Hampton Place,-123.232514,49.257893
VAD10219,Central - Retail,Vancouver,V6T 0C4,BC,VBL10356,Commercial,CanadaPost,6001 University Boulevard,-123.246875,49.266422
VAD10094,Central - Retail,Vancouver,V6T 0C4,BC,VBL10356,Commercial,CanadaPost,6025 University Boulevard,-123.247143,49.266255
VAD10092,Central - Retail,Vancouver,V6T 0C4,BC,VBL10356,Commercial,CanadaPost,6035 University Boulevard,-123.247244,49.266242
VAD10078,The Mews - Retail,Vancouver,V6S 0B1,BC,VBL10165,Commercial,CanadaPost,3317 Wesbrook Mall,-123.235675,49.254776
VAD11138,Village Square - Retail,Vancouver,V6S 0J7,BC,VBL10170,Commercial,CanadaPost,5958 Webber Lane,-123.236231,49.254135
VAD10101,Pine House,Vancouver,V6S 0K3,BC,VBL10321,NeighbourhoodBldg,CanadaPost,3588 Ross Drive,-123.234276,49.25123
VAD10444,Stirling House - Townhouse,Vancouver,V6T 0A4,BC,VBL10289,Residential,CanadaPost,6068 Iona Drive,-123.252333,49.270609
VAD10002,Hawthorn Green (A2),Vancouver,V6T 2J6,BC,VBL10144,Residential,CanadaPost,6356 Hawthorn Lane,-123.248852,49.258147
VAD10004,Hawthorn Green (B2),Vancouver,V6T 2J6,BC,VBL10144,Residential,CanadaPost,6346 Hawthorn Lane,-123.248736,49.258188
VAD10005,Hawthorn Green (C2),Vancouver,V6T 2J6,BC,VBL10144,Residential,CanadaPost,6336 Hawthorn Lane,-123.248611,49.258233
VAD10006,Hawthorn Green (C1),Vancouver,V6T 2J6,BC,VBL10144,Residential,CanadaPost,6338 Hawthorn Lane,-123.248639,49.258223
