BLDG_UID,NAME,BLDG_CODE,CONSTR_STATUS,OCCU_DATE,BLDG_USAGE,BLDG_SEC_USAGE,JURISDICTION,NEIGHBOURHOOD,MANAGE_ORG,BLDG_STATE,GREEN_STATUS,CONSTR_TYPE,MAX_FLOORS,BLDG_HEIGHT,GBA,REC_IDS,HAS_SUBBLDGS,GEOM_SOURCE,NOTES,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,BLDG_FORM,BLDG_CONDITION,ACCESSIBILITY_RATING,BLDG_MAINTENANCE,BLDG_CLASS,PROPERTY_TYPE,LAT,LONG
VBL10179,Telus Hub,TELS,Complete,20170308,Other,,UNA,Wesbrook,Non-UBC,Occupied,,Concrete,1,1.65231,58,678,0,,,,,RACHELW,20220812051902,Outbuildings,,,,B3,LeasedFromUBC,-123.235473,49.255225
VBL10207,Building Operations Storage Shed,BOSS,Complete,19920101,Operations,,UBC,Academic,UBC,Occupied,,Concrete,1,6.37069,496,646,0,,,RACHELW,20210615025018,RACHELW,20220812051907,Outbuildings,Good,,UBC,B3,,-123.254414,49.262185
VBL10054,Rose Garden Parkade,PARR,Complete,19940101,Parking,,UBC,Academic,Parking,Occupied,,Concrete,5,12.95924,23185,528,0,,,,,RACHELW,20220812052003,Parking,Poor,,UBC,B6,,-123.256303,49.269111
VBL10093,Leon and Thea Koerner University Centre,UCEN,Complete,20080829,Academic,,UBC,Academic,UBC,Occupied,,Concrete,3,12.13348,4022,344;344-1;345,1,,,,,TOML,20220603222010,Unspecified,Poor,,UBC,B2,,-123.257217,49.268895
VBL10045,Pulp and Paper Centre,PAPC,Complete,19850101,Research,,UBC,Academic,UBC,Occupied,,Concrete,4,18.82,3317,747,0,,,,,TOML,20220224175718,Unspecified,Critical,,UBC,B2,,-123.247568,49.261416
VBL10154,Walter C. Koerner Library,KLIB,Complete,19720101,Academic,,UBC,Academic,UBC,Occupied,,Concrete,7,29.2789,17777,515;515-1,1,,,GISSTUD1,20180319192303,RACHELW,20221128183519,Unspecified,Poor,,UBC,B2,,-123.255125,49.26665
VBL10047,Hebb Building,HEBB,Complete,19640101,Academic,,UBC,Academic,UBC,Occupied,LEED Gold,Concrete,6,23.93,5957,656,0,,,,,TOML,20220224175718,Unspecified,Poor,,UBC,B2,,-123.251663,49.266129
VBL10051,Rodney Graham Millennium Sculpture Pavilion,RSCU,Complete,20030701,Services,,UBC,Academic,UBC,Occupied,,OtherMixed,1,3.31923,28,180,0,,,,,TOML,20220224175718,Unspecified,Good,,UBC,B2,,-123.2545,49.267524
VBL10257,Carey Centre,CRYC,Complete,20050321,Other,Housing,Non-UBC,Chancellor,Non-UBC,Occupied,,Concrete,6,16.42,4127,807,0,,,GISSTUD2,20190514225613,RACHELW,20220812173148,Unspecified,,,,B3,LeasedFromUBC,-123.248908,49.27152
VBL10044,Frank Forward Building,FORW,Complete,19680101,Academic,,UBC,Academic,UBC,Occupied,,Concrete,6,29.635,7542,562,0,,,,,TOML,20220224175718,Unspecified,Critical,,UBC,B2,,-123.251692,49.26169
VBL10289,Stirling House,STIR,Complete,20080730,Housing,,UNA,Chancellor,Private,Occupied,REAP Bronze,Wood,9,24.3,4788,818,0,,new GBA taken from spreadsheet,,,TOML,20220224175718,Apt5StoreyPlus,,,,B5,,-123.252469,49.270476
