POI_ID,ADD_ID,PLACENAME,PLACENAME2,ABBREVIATEDPLACENAME,BL_NAME,BL_CLASS,SERVICE_TYPE,PHOTOURL,URL,CONTACT,HOURS,LICENSE,MANAGE,STATUS,LEED,HTML,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,GLOBALID,BCN_CODE,BCN_LANDUSE,BCN_NOEMP,BCN_CLASS,LAT,LONG
VPOI10067,VAD11083,Koerner's Pub,,,,,restaurant,,http://koerners.ca/,Phone: (604) 827-1443; Email: info@koerners.ca,M-W: 12 pm - 7pm; Th-Fri: 12 pm - 10 pm; Sat-Sun: 12 pm - 7 pm,Y,,Current,Services,,,,TOML,20221219213710,{5D1336D9-17DA-4687-9317-3CF51760BEFF},,,,,-123.258045,49.268557
VPOI10359,VAD10179,Museum of Anthropology,,MOA,,,attraction,,https://moa.ubc.ca/,Phone: (604) 822-5087; Email: info@moa.ubc.ca,Tu-W: 10 am - 5 pm; Th: 10 am - 9 pm; F-Sun: 10 am - 5 pm,,,Current,Civic,,GISSTUD1,20180117190435,TOML,20221219213710,{413A4E94-1F32-4FD9-AFF6-E59708793CC4},,,,,-123.259366,49.269235
VPOI10121,VAD10161,Lobby Gallery,,,,,attraction,,,,,N,,Current,Civic,,,,TOML,20221219213710,{44FE5CAC-88C5-40FB-8F86-31BF1ACDD172},,,,,-123.259288,49.267565
VPOI10212,VAD10180,Music Library,,,,,library,http://www.infrastructuredevelopment.ubc.ca/rrs2/photos/575.jpg,http://music.library.ubc.ca,Information Desk: (604) 822-3589,M-F: 9 am - 5 pm; Sat-Sun: Closed,N,,Current,Civic,,,,TOML,20221219213710,{3EFE7CDA-940D-4BFE-B292-89F36DC21806},,,,,-123.256713,49.267347
VPOI10150,VAD11083,Seedlings,,,,,restaurant,,http://www.ubcsprouts.ca/seedlings/,Email: info@ubcsprouts.ca,M-F: 9:30 am - 4 pm; Sat-Sun: Closed,N,,Current,Services,,,,TOML,20221219213710,{37B3B24D-2FB0-4145-A109-1C0FC64DAC25},,,,,-123.257832,49.268322
VPOI10165,VAD10021,Go Global International Learning Programs,,,,,campus_services,,https://students.ubc.ca/about-student-services/go-global,Phone: (604) 822-0942; Email: go.global@ubc.ca; Fax: (604) 822-9885,M-F: 9 am - 4:15 pm; Sat-Sun: Closed,N,,Current,Civic,,,,TOML,20221219213710,{832D4D0D-026F-4716-9CA0-C9B7786BE113},,,,,-123.258968,49.267803
VPOI10298,VAD10021,International Student Development,,,,,campus_services,,https://students.ubc.ca/about-student-services/international-student-development,Phone: (604) 822-5021; Email: isa@students.ubc.ca/international.house@ubc.ca; Fax: (604) 822-5099,M-F: 9:30 am - 4 pm; Sat-Sun: Closed,N,,Current,Civic,,,,TOML,20221219213710,{53889883-7C1E-4E56-A414-631ECF5EC12F},,,,,-123.258968,49.267803
VPOI10358,VAD10179,Cafe MOA,MOA Cafe,,,cafe,cafe,,https://visit.ubc.ca/eat-drink-and-stay/cafes/cafe-moa/,Phone: (604) 827-1443,,N,,Retired,,,,,TOML,20221219213710,{2AB9245E-9CDD-436E-9DB6-EBD2EAA86AB5},,,,,-123.25917,49.269415
VPOI10221,,A&W,,,,,cafe,,http://www.aw.ca/,Phone: (604) 428-0060,24hrs,N,,UEL,Services,,,,RACHELW,20221205225219,{E7A3C60A-99E0-40B7-A05B-1CAD18EC3CF3},,,,,-123.243437,49.26647
VPOI10044,,Vera's Burger Shack,,,,,cafe,,http://www.verasburgershack.com/,Phone: (604) 221-8372,Daily: 10:30 am - 10:30 pm,N,,UEL,Services,,,,RACHELW,20221205225219,{8258A070-4A57-41EB-84B9-A7C6DD54416C},,,,,-123.243271,49.265799
VPOI10046,,Agra Tandoori Express,,,,,cafe,,https://agratahttps://agratandooriexpress.ca/,Phone: (604) 225-2288,M-Sat: 11 am - 10 pm; Sun: 11 am - 9 pm,N,,UEL,Services,,,,RACHELW,20221205225219,{BC26F0EF-57F7-4063-835D-1D616F18FB84},,,,,-123.243445,49.26601
VPOI10338,VAD10032,Sage Bistro,,,,,restaurant,,https://sage.ubc.ca/,Phone: (604) 822-0968,M-F: 11:30 am - 2 pm; Sat-Sun: Closed,N,,Current,Services,,,,TOML,20221219230450,{16665DDB-6EEB-492E-864D-DA424BCD2E77},,,,,-123.256925,49.268815
VPOI10249,VAD10032,Ideas Lunch & Wine Bar,,,,,restaurant,,https://food.ubc.ca/places/ideas-lunch-wine-bar/,Phone: (604) 822-0968/(604) 822-0968; Email: sage.catering@ubc.ca,,N,,Retired,,,,,TOML,20221219230450,{A1CE2249-04F5-4EFC-A727-6EC36C629DAA},,,,,-123.256812,49.268851
VPOI10093,VAD10841,Stir It Up,,,,cafe,cafe,,https://food.ubc.ca/places/stir-it-up-cafe/,Phone: (604) 822 2002,W-Fri: 7:30 am - 3 pm; Sat-Tu: Closed ,N,,Current,Services,,,,TOML,20221219230813,{F442B712-D1C2-4D47-895B-6A97936B865C},,,,,-123.254805,49.268531
VPOI10139,VAD10841,Arts Academic Advising,,,,,campus_services,,http://students.arts.ubc.ca/advising/,Phone: (604) 822-4028; Email (Aboriginal Students): arts.aboriginal@ubc.ca; Fax: (604) 822-4923,M-F: 9 am - 4:30 pm; Sat-Sun: Closed,N,,Current,Civic,,,,TOML,20221219230813,{FA3459A2-F646-4A85-8EC3-4DE701C1AC82},,,,,-123.254213,49.2693
VPOI10078,VAD11146,Walter C. Koerner Library,,,,,library,http://www.infrastructuredevelopment.ubc.ca/rrs2/photos/515-1.jpg,http://www.library.ubc.ca/koerner,Information Desk: (604) 822-2725,M-Th: 8 am - 8 pm; Fri: 8 am - 5 pm; Sat:10 am - 5 pm; Sun: Closed,N,,Current,Civic,,,,TOML,20221219234951,{4574B1C0-AF23-4DC8-B084-3376947C2808},,,,,-123.255131,49.266655
VPOI10120,VAD10840,Career Services,,,,,campus_services,,https://students.ubc.ca/about-student-services/centre-student-involvement-careers,Phone: (604) 822-4011,M-F: 9 am - 5 pm; Sat-Sun: Closed,N,,Current,Civic,,,,TOML,20221219230813,{381A2C2C-D5E4-4315-A622-0A7AA5F31DD2},,,,,-123.252197,49.268632
VPOI10261,VAD10840,Enrolment Services,,,,,campus_services,,https://students.ubc.ca/about-student-services/enrolment-services-professionals-esp#contact-us,Phone: (604) 822-9836,"M,W,Th,Fri: 9:30 am - 4 pm; Tu: 10 am - 4 pm",N,,Current,Civic,,,,TOML,20221219230813,{D3230AAB-A36C-42DF-A72C-73197600D35F},,,,,-123.252197,49.268632
VPOI10462,VAD11063,Community Shuttle,Community Shuttle,,,,transit,,,,,N,,Current,Civic,,RACHELW,20220126204003,TOML,20221219231958,{F610D657-DA47-47B3-8CC5-BBA0494EE4C2},,,,,-123.247801,49.26751
VPOI10262,VAD10840,Equity and Inclusion Office,,,,,campus_services,,http://equity.ubc.ca/,Phone: (604) 822-6353; Email: info@equity.ubc.ca; Fax: (604) 822-3260,M-F: 8:30 am - 4:30 pm; Sat-Sun: Closed,N,,Current,Civic,,,,TOML,20221219230813,{0E241587-ABF9-414F-A03E-D161C3C16329},,,,,-123.252197,49.268632
VPOI10263,VAD10840,Undergraduate Student Services,,,,,campus_services,,https://students.ubc.ca/,,,N,,Current,Civic,,,,TOML,20221219230813,{50AF1AB6-676C-4EC9-A4A5-57D2D29FB5AA},,,,,-123.252197,49.268632
VPOI10178,VAD10840,Admissions (Undergraduate) ,,,,,campus_services,,http://you.ubc.ca/applying-ubc/,Phone: (604) 822-8999; Fax: (604) 822-9888,M-F: 9 am - 4 pm; Sat: 9:30 am - 2:30 pm; Sun: Closed,N,,Current,Civic,,,,TOML,20221219230813,{FFAF09AC-4820-46BC-9CE1-49ED035AB379},,,,,-123.252197,49.268632
VPOI10182,VAD10840,Centre for Accessibility,,,,,campus_services,,https://students.ubc.ca/about-student-services/centre-for-accessibility,Phone: (604) 822-5844; Email: info.accessibility@ubc.ca; Fax: (604) 822-6655,"M,W,Fri: 8:30 am - 4:30 pm; Tu: 8:30 am - 5 pm; Th: 8:30 am - 4 pm",N,,Current,Civic,,,,TOML,20221219230813,{41962AED-9967-4D56-983F-6C6226B38BD6},,,,,-123.252197,49.268632
VPOI10245,VAD10840,"Awards, Fees and Financial Assistance ",,,,,campus_services,,https://students.ubc.ca/enrolment/finances,Phone: (604) 822-9836; Toll-free: 1-877-272-1422,"M, W-F: 9:30 am - 4 pm; Tue: 10 am - 4 pm",N,,Current,Civic,,,,TOML,20221219230813,{2A34701C-9469-461B-A542-CBC07CE28C49},,,,,-123.252197,49.268632
VPOI10440,VAD10450,Saltwater/k̓ʷaƛ̓kʷəʔaʔɬ,Saltwater/k̓ʷaƛ̓kʷəʔaʔɬ,,,,housing_student,,http://vancouver.housing.ubc.ca/residences/place-vanier/,,,N,,Current,,,RACHELW,20210705164603,TOML,20221219230813,{E3D182CD-9FC4-48B8-9F6C-DF23AEE5E62A},,,,,-123.249022,49.269046
VPOI10431,VAD11148,West Coast Suites,Check-in,,,,campus_services,,http://suitesatubc.com/accommodations/west-coast-suites/,Phone: (604) 395-2540; Email: reservations@housing.ubc.ca; Fax: (604) 822-1001,,N,,Current,Civic,,,,TOML,20221219230813,{2EF1F6BB-FA3D-49F6-B0C3-37469D695881},,,,,-123.248557,49.269554
VPOI10069,VAD10455,Birdcoop Fitness Center,,,,,athletics,http://www.infrastructuredevelopment.ubc.ca/rrs2/photos/774.jpg,http://www.recreation.ubc.ca/fitness/,Phone: (604) 822-6924; Email: birdcoop.fitnesscentre@ubc.ca,M-F: 6:30 am - 11 pm; Sat-Sun: 9 am - 10 pm,N,,Current,Services,,,,TOML,20221219231958,{AE79F04A-4306-4184-AB3E-4FC56E019209},,,,,-123.248788,49.268359
