TREEID,FAMILY,TAXA,COMMON_NAME,TAG,TAGID,LIVE_TREE,DBH,THEIGHT,HEIGHT_LIVETOP,HEIGHT_LIVEBASE,CROWNWIDTH1,CROWNWIDTH2,CANOPYMISSING,CROWN_LIGHTEXP,NUM_STEMS,TEAM,TREE_TYPE,DATE_MEASURE,HEIGHT_LIDAR,HEIGHT_ERROR_LIDAR,TREE_ID_YR,NOTES,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,LAT,LONG
5161,,Malus x domestica,,,,,,,,,,,,,,,,,,,,,PLAN,20190614175828,PLAN,20190614175828,49.259452,-123.248811
3923,,Cornus kousa,Japanese Dogwood,,,,,,,,,,,,,,,,,,,,PLAN,20190614175902,PLAN,20190620220150,49.260431,-123.250723
3945,,Cornus kousa,Japanese Dogwood,,,,,,,,,,,,,,,,,,,,PLAN,20190614175902,PLAN,20190620220151,49.260546,-123.250886
3957,,Prunus serrulata,Japanese Cherry,,,,,,,,,,,,,,,,,,,,PLAN,20190614175902,PLAN,20190620220151,49.260685,-123.251253
3958,,Prunus serrulata,Japanese Cherry,,,,,,,,,,,,,,,,,,,,PLAN,20190614175902,PLAN,20190620220151,49.260708,-123.251275
3959,,Prunus serrulata,Japanese Cherry,,,,,,,,,,,,,,,,,,,,PLAN,20190614175902,PLAN,20190620220151,49.260736,-123.251297
5064,,dead,,,,,,,,,,,,,,,,,,,,,PLAN,20190614175830,PLAN,20190614175830,49.267579,-123.253855
5068,,Acer glabrum,,,,,,,,,,,,,,,,,,,,,PLAN,20190614175830,PLAN,20190614175830,49.267649,-123.253848
5268,,Malus x domestica,,,,,,,,,,,,,,,,,,,,,PLAN,20190614175836,PLAN,20190614175836,49.259377,-123.248618
5270,,Malus x domestica,,,,,,,,,,,,,,,,,,,,,PLAN,20190614175836,PLAN,20190614175836,49.259405,-123.248639
5473,,Sorbus aria,Chess-Apple,,,,,,,,,,,,,,,,,,,,PLAN,20190614175859,PLAN,20190620220154,49.265589,-123.252401
6622,,Acer rubrum,Red Maple,,,,,,,,,,,,,,,,,,,,PLAN,20190614175851,PLAN,20190620220132,49.263634,-123.243579
2246,,Ginkgo biloba,Ginkgo,,,,,,,,,,,,,,,,,,,,PLAN,20190614175847,PLAN,20190620220112,49.262699,-123.252188
8228,,,,,,,,,,,,,,,,,,,,,,,GISSTUD1,20200106224230,PLAN,20200116192732,49.267993,-123.247637
8229,,,,,,,,,,,,,,,,,,,,,,,GISSTUD1,20200106224231,PLAN,20200116192732,49.26803,-123.247654
8230,,,,,,,,,,,,,,,,,,,,,,,GISSTUD1,20200106224231,PLAN,20200116192732,49.268044,-123.247703
8231,,,,,,,,,,,,,,,,,,,,,,,GISSTUD1,20200106224232,PLAN,20200116192732,49.268077,-123.247725
8232,,,,,,,,,,,,,,,,,,,,,,,GISSTUD1,20200106224233,PLAN,20200116192732,49.268138,-123.247782
8234,,,,,,,,,,,,,,,,,,,,,,,GISSTUD1,20200106224235,PLAN,20200116192733,49.268234,-123.247845
8235,,,,,,,,,,,,,,,,,,,,,,,GISSTUD1,20200106224235,PLAN,20200116192733,49.268253,-123.247832
9446,,,,,,,,,,,,,,,,,,,,,,,GISSTUD2,20200221171953,GISSTUD2,20200221172112,49.263016,-123.236876
